pid,pod.id,dry.date,poll.status,length.dry,tot.num.seeds,num.m.seeds,notes
56,05,coll.date,unmarked,59.92,55,55,
56,06,coll.date,unmarked,46.48,56,56,
56,07,coll.date,unmarked,38.14,11,11,
58,01,coll.date,deformed,36.26,29,29,seeds black 
58,02,coll.date,bee ,33.57,20,20,
58,03,coll.date,pollinated,37.15,36,36,
58,04,coll.date,pollinated,34.35,18,18,
58,05,coll.date,pollinated,37.56,10,10,
58,06,coll.date,pollinated,31.22,8,8,
60,01,coll.date,unmarked,47.53,28,28,wet
60,02,coll.date,unmarked,53.27,39,39,wet
60,03,coll.date,unmarked,44.03,23,23,wet
60,04,coll.date,unmarked,55.91,52,52,wet
60,05,coll.date,unmarked,66.08,60,60,wet
60,06,coll.date,unmarked,58.43,33,33,wet
62,01,coll.date,unmarked,50.12,59,59,*missing 6 more pods
62,02,coll.date,unmarked,50.08,60,60,*missing 6 more pods
62,03,coll.date,pollinated,49.5,45,45,*missing 6 more pods
62,04,coll.date,unmarked,48.04,29,29,*missing 6 more pods
64,01,coll.date,pollinated,58.3,70,70,
64,02,coll.date,pollinated,60.33,52,52,
64,03,coll.date,pollinated,48.88,48,48,
64,04,coll.date,unmarked,47.2,45,45,
64,05,coll.date,unmarked,57.27,58,58,
64,06,coll.date,pollinated,62.48,53,53,
64,07,coll.date,unmarked,48.95,49,49,
64,08,coll.date,pollinated,44.55,39,39,
64,09,coll.date,pollinated,45.94,42,42,
64,10,coll.date,unmarked,43.46,38,38,
66,01,col.date,pollinated,53.08,53,53,
66,02,col.date,pollinated,54.4,52,52,wet
66,03,col.date,unmarked,50.11,54,54,
66,04,col.date,unmarked,44.18,42,42,wet
68,01,col.date,pollinated,53.66,63,63,
68,02,col.date,pollinated,57.49,60,60,
68,03,col.date,pollinated,61.69,61,61,
68,04,col.date,pollinated,54.41,38,38,
68,05,col.date,pollinated,61.14,53,53,
68,06,col.date,unmarked,57.39,61,61,
68,07,col.date,deformed,53.94,53,53,
68,08,col.date,unmarked,55.29,47,47,
68,09,col.date,unmarked,49.75,61,61,
68,10,col.date,pollinated,53.07,57,57,
72,06,coll.date,unmarked,52.36,77,77,
72,07,coll.date,deformed,40.79,38,38,
74,01,coll.date,unmarked,53.43,60,60,worms
74,02,coll.date,unmarked,50.55,40,40,worms
74,03,coll.date,unmarked,58.5,42,42,wet
74,04,coll.date,unmarked,58.87,72,72,wet
74,05,coll.date,unmarked,59.1,66,66,wet
74,06,coll.date,unmarked,54.02,64,64,wet/worms
74,07,coll.date,unmarked,46.66,46,46,wet/worms
74,08,coll.date,unmarked,52.79,55,55,wet/worms
74,09,coll.date,unmarked,55.62,63,63,wet/worms
74,08,10/01/2021,unmarked,47.76,45,45,
76,01,col.date,unmarked,50.74,31,31,
76,02,col.date,unmarked,49.18,9,9,
76,03,col.date,unmarked,38.95,14,14,
76,04,col.date,unmarked,50.42,16,16,
80,01,col.date,unmarked,33.95,11,11,
80,02,col.date,pollinated,46.28,44,44,
80,03,col.date,unmarked,31.2,12,12,
82,01,col.date,deformed,59.66,71,71,wet
82,02,col.date,deformed,56.22,67,59,wet; 8 sprouted 9/29
82,03,col.date,deformed,56.45,68,67,wet; 1 sprouted 9/29
82,04,col.date,unmarked,62.03,61,60,wet
82,05,col.date,unmarked,62.25,53,52,wet
82,06,col.date,unmarked,64.9,73,61,wet; 12 sprouted 9/29
82,07,col.date,unmarked,47.04,23,15,wet
82,08,col.date,unmarked,40.41,19,18,wet
86,01,coll.date,unmarked,48.09,53,53,
86,02,coll.date,deformed,63.5,81,81,
86,03,coll.date,unmarked,43.08,41,41,
86,04,coll.date,unmarked,44.38,22,22,
86,05,coll.date,deformed,39.49,39,39,
88,01,coll.date,unmarked,38.06,36,36,
88,02,coll.date,unmarked,40.53,23,23,
88,03,coll.date,deformed,37.24,18,18,
88,04,coll.date,unmarked,45.69,28,28,
88,05,coll.date,unmarked,40.09,32,32,
88,06,coll.date,unmarked,52.38,114,114,
88,06,coll.date,unmarked,49.2,54,48,
88,07,coll.date,deformed,42.79,30,24,
88,08,coll.date,deformed,41.37,25,25,
88,09,coll.date,unmarked,49.03,30,30,
90,01,coll.date,unmarked,49.21,68,68,
90,02,coll.date,unmarked,52.67,72,72,
90,04,10/01/2021,pollinated,45.28,66,66,
92,01,coll.date,unmarked,53.05,49,49,wet
92,02,coll.date,unmarked,58.17,72,72,wet
92,03,coll.date,unmarked,59.48,72,72,wet
92,04,coll.date,unmarked,57.38,57,57,wet
94,01,coll.date,unmarked,61.96,65,65,
94,02,coll.date,unmarked,48.33,58,58,
94,03,coll.date,unmarked,59.98,81,81,
94,04,coll.date,unmarked,53.22,60,60,
94,06,10/15/2021,deformed,60.55,65,65,
96,06,coll.date,pollinated,57.97,61,61,wet
96,07,coll.date,unmarked,56.29,57,57,wet
