date,PID,num.flowers,pollen.pid,condition,bee pollinated?,spodoptera damage?
9/13,165,1,159,,,
9/13,167,3,149,,,
9/16,37,2,59,,,
9/16,57,3,75,,,
9/16,59,2,37,,,
9/16,63,1,71,,,
9/16,69,8,83,,,yes
9/16,71,5,63,,,
9/16,75,3,57,,,yes
9/16,77,2,37,,,
9/16,83,6,69,,,yes
9/16,85,5,71,,,
9/16,89,11,101,,,
9/16,91,1,99,,,
9/16,99,3,91,,,yes
9/16,101,5,89,,,
9/16,103,11,103,,,
9/16,113,4,113,,,yes
9/16,115,13,115,,,
9/16,117,14,117,,,yes
9/16,125,8,125,,,yes
9/16,129,7,129,,,
9/16,131,7,131,,,yes
9/16,133,8,133,,,
9/16,135,17,135,,,
9/16,139,12,139,,,yes
9/16,143,2,143,,,
9/16,149,5,149,,,
9/16,151,3,151,,,
9/16,155,7,155,,,yes
9/16,159,3,159,,,
9/16,161,4,161,,,
9/16,163,3,163,,,
9/16,165,1,165,,,yes
9/16,167,5,167,,,
9/18,23,1,23,,,yes
9/18,53,3,57,,,
9/18,57,1,53,,,
9/18,59,4,167,,,yes
9/18,63,5,71,,,yes
9/18,69,5,23,,,
9/18,71,10,63,,,yes
9/18,75,4,99,,,yes
9/18,77,11,89,,,
9/18,79,2,85,,,
9/18,83,8,95,,,
9/18,85,3,79,,,yes
9/18,89,6,77,,,
9/18,91,8,87,,,
9/18,95,2,83,,,
9/18,97,2,101,,,
9/18,99,4,75,,,yes
9/18,101,10,97,,,
9/18,103,9,113,,,
9/18,113,2,87,,,
9/18,115,5,93,,,
9/18,117,7,131,,,
9/18,125,1,127,,,
9/18,129,2,125,,,
9/18,131,3,117,,,yes
9/18,133,14,141,,,
9/18,135,15,143,,,
9/18,139,10,125,,,yes
9/18,143,5,135,,,
9/18,149,5,167,,,
9/18,151,4,163,,,yes
9/18,155,5,161,,,
9/18,161,3,155,,,
9/18,163,1,151,,,yes
9/18,165,3,159,,,
9/18,167,1,149,,,
9/20,53,2,57,,,
9/20,55,6,115,,,
9/20,57,6,53,,,
9/20,59,3,77,,,
9/20,63,3,71,,,yes
9/20,69,7,83,,,yes
9/20,71,15,63,,,
9/20,75,3,91,,,yes
9/20,77,7,89,,,yes
9/20,83,7,69,,,
9/20,85,13,135,,,yes
9/20,87,6,99,,,
9/20,89,6,77,,,
9/20,91,11,75,,,yes
9/20,97,5,101,,,
9/20,99,7,87,,,
9/20,101,7,97,,,
9/20,103,11,113,,,yes
9/20,113,6,103,,,
9/20,115,6,55,,,
9/20,117,8,131,,,
9/20,129,8,139,,,
9/20,131,8,117,,,
9/20,133,7,165,,,
9/20,135,23,85,,,
9/20,139,7,129,,,
9/20,143,2,151,,,
9/20,149,7,167,,,
9/20,151,10,143,,,
9/20,155,10,161,,,
9/20,161,5,155,,,
9/20,165,4,133,,,
9/20,167,6,149,,,
9/24,121,8,133,,,
9/24,129,3,139,,,
9/24,133,4,121,,,
9/24,135,13,143,,,
9/24,139,7,129,,,
9/24,143,1,135,,,
9/24,149,6,167,,,
9/24,151,1,163,,,
9/24,155,5,161,,,
9/24,159,1,165,,,
9/24,161,6,155,,,
9/24,163,5,151,,,
9/24,165,4,159,,,
9/24,167,4,149,,,
